Team,Position,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
Brazil,1,7,7.0,0.0,0,18,4,14,21
Germany,2,7,5.0,1.0,1,14,3,11,16
Turkey,3,7,4.0,1.0,2,10,6,4,13
South Korea,4,7,3.0,2.0,2,8,6,2,11
Spain,5,5,3.0,2.0,0,10,5,5,11
England,6,5,2.0,2.0,1,6,3,3,8
Senegal,7,5,2.0,2.0,1,7,6,1,8
United States,8,5,2.0,1.0,2,7,7,0,7
Japan,9,4,2.0,1.0,1,5,3,2,7
Denmark,10,4,2.0,1.0,1,5,5,0,7
Mexico,11,4,2.0,1.0,1,4,4,0,7
Republic of Ireland,12,4,1.0,3.0,0,6,3,3,6
Sweden,13,4,1.0,2.0,1,5,5,0,5
Belgium,14,4,1.0,2.0,1,6,7,−1,5
Italy,15,4,1.0,1.0,2,5,5,0,4
Paraguay,16,4,1.0,1.0,2,6,7,−1,4
South Africa,17,3,1.0,1.0,1,5,5,0,4
Argentina,18,3,1.0,1.0,1,2,2,0,4
Costa Rica,19,3,1.0,1.0,1,5,6,−1,4
Cameroon,20,3,1.0,1.0,1,2,3,−1,4
Portugal,21,3,1.0,0.0,2,6,4,2,3
Russia,22,3,1.0,0.0,2,4,4,0,3
Croatia,23,3,1.0,0.0,2,2,3,−1,3
Ecuador,24,3,1.0,0.0,2,2,4,−2,3
Poland,25,3,1.0,0.0,2,3,7,−4,3
Uruguay,26,3,0.0,2.0,1,4,5,−1,2
France,28,3,0.0,1.0,2,0,3,−3,1
Tunisia,29,3,0.0,1.0,2,1,5,−4,1
Slovenia,30,3,0.0,0.0,3,2,7,−5,0
